,OP_CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
6028,MQ,DFW,COS,-1.088235294117647,-3.4411764705882355,118.6470588235294,88.58823529411765,592.0
6029,MQ,DFW,COU,4.642857142857143,5.328205128205128,96.64102564102564,72.60512820512821,489.0
6030,MQ,DFW,CRP,3.5779036827195467,3.2329545454545454,82.125,60.16477272727273,354.0
6031,MQ,DFW,CVG,4.95225102319236,2.6598360655737703,131.4016393442623,106.54098360655738,812.0
6032,MQ,DFW,DAY,2.934984520123839,-0.20165460186142709,136.81282316442605,111.06101344364012,861.0
6033,MQ,DFW,DRT,0.43859649122807015,-11.415929203539823,83.19469026548673,62.415929203539825,335.0
6034,MQ,DFW,DSM,-5.0,-10.0,113.0,85.0,624.0
6035,MQ,DFW,ELP,9.733333333333333,10.266666666666667,109.13333333333334,85.8,551.0
6036,MQ,DFW,EYW,8.157894736842104,14.157894736842104,176.10526315789474,152.1578947368421,1089.0
6037,MQ,DFW,FAR,5.730882352941176,-2.845360824742268,155.5758468335788,129.4079528718704,968.0
6038,MQ,DFW,FSD,4.909604519774011,2.9887005649717513,130.22033898305085,103.2090395480226,737.0
6039,MQ,DFW,FSM,2.524916943521595,2.318864774624374,66.45242070116862,40.52086811352254,227.0
6040,MQ,DFW,GCK,2.5315568022440393,0.09815078236130868,87.91465149359887,66.34850640113798,404.0
6041,MQ,DFW,GGG,4.1461538461538465,5.587628865979381,53.68041237113402,27.574742268041238,140.0
6042,MQ,DFW,GJT,1.4742063492063493,-2.2703777335984094,133.2306163021869,111.13518886679921,773.0
6043,MQ,DFW,GPT,0.9344262295081968,1.360655737704918,97.63934426229508,70.47540983606558,500.0
6044,MQ,DFW,GRI,6.446215139442231,7.187624750499002,108.75249500998004,85.71057884231537,561.0
6045,MQ,DFW,GRK,5.405724953329185,4.050625,51.349375,28.874375,134.0
6046,MQ,DFW,GRR,5.191111111111111,1.487695749440716,142.11409395973155,118.73601789709173,931.0
6047,MQ,DFW,GSO,5.492617449664429,4.43859649122807,152.52091767881242,123.68825910931174,999.0
6048,MQ,DFW,GSP,2.4285714285714284,-1.0714285714285714,137.5,108.28571428571429,862.0
6049,MQ,DFW,GUC,-3.0,-18.0,122.0,105.0,678.0
6050,MQ,DFW,HOU,7.768421052631579,6.8449197860962565,73.60427807486631,48.716577540106954,247.0
6051,MQ,DFW,HSV,30.0,36.714285714285715,111.71428571428571,78.28571428571429,603.0
6052,MQ,DFW,IAH,2.5892857142857144,-0.6826347305389222,71.33532934131736,43.16167664670659,224.0
6053,MQ,DFW,ICT,3.770171149144254,2.843137254901961,76.92892156862744,53.53921568627451,328.0
6054,MQ,DFW,ILM,-2.4444444444444446,-8.333333333333334,164.55555555555554,137.33333333333334,1106.0
6055,MQ,DFW,IND,24.071428571428573,30.428571428571427,133.21428571428572,105.5,761.0
6056,MQ,DFW,JAN,3.4687100893997447,3.2005141388174807,82.5694087403599,59.2185089974293,408.0
6057,MQ,DFW,JAX,-2.8,-2.2,141.6,112.0,918.0
6058,MQ,DFW,JLN,3.8338028169014087,1.7908309455587392,74.5243553008596,52.656160458452725,327.0
6059,MQ,DFW,LAW,2.826137689614936,1.667844522968198,53.12485276796231,31.127208480565372,140.0
6060,MQ,DFW,LBB,5.5,5.37890625,72.2890625,48.19140625,282.0
6061,MQ,DFW,LCH,3.7838427947598254,4.902090209020902,77.04290429042905,51.65676567656766,295.0
6062,MQ,DFW,LEX,4.432068543451653,2.5744157441574416,129.96432964329642,102.06888068880689,785.0
6063,MQ,DFW,LFT,3.374255065554231,2.6870503597122304,83.04556354916068,56.171462829736214,351.0
6064,MQ,DFW,LIT,3.919683257918552,2.506994328922495,72.81398865784499,47.85444234404537,304.0
6065,MQ,DFW,LRD,3.5570216776625823,4.200379867046534,82.90693257359924,61.84235517568851,396.0
6066,MQ,DFW,MAF,1.9113300492610839,2.237623762376238,73.20297029702971,53.23267326732673,309.0
6067,MQ,DFW,MCI,6.420168067226891,2.2711864406779663,93.28389830508475,69.59745762711864,460.0
6068,MQ,DFW,MEM,0.6863753213367609,0.10309278350515463,94.86082474226804,66.99226804123711,431.0
6069,MQ,DFW,MFE,7.643122676579925,8.085820895522389,94.92910447761194,73.46641791044776,469.0
6070,MQ,DFW,MGM,5.406976744186046,7.3,110.18311688311688,85.67272727272727,622.0
6071,MQ,DFW,MHK,2.5241779497098644,2.3929961089494163,88.79571984435798,67.40466926070039,431.0
6072,MQ,DFW,MKE,6.703703703703703,8.443037974683545,139.37974683544303,115.75949367088607,853.0
6073,MQ,DFW,MLI,9.818181818181818,23.2,127.9,96.0,691.0
6074,MQ,DFW,MLU,-1.1062271062271063,-2.5404411764705883,70.125,46.30882352941177,293.0
6075,MQ,DFW,MSN,2.9586206896551723,-0.2788177339901478,131.80985221674877,107.96256157635467,821.0
6076,MQ,DFW,MSO,4.695652173913044,-8.88888888888889,204.7536231884058,182.0048309178744,1320.0
6077,MQ,DFW,MSY,6.086206896551724,3.6206896551724137,92.12068965517241,65.96551724137932,447.0
6078,MQ,DFW,MTJ,4.829268292682927,3.475,134.55,112.6,722.0
